Field,Type,Null,Key,Default,Extra
pf_name,varchar(35),NO,PRI,NULL,
pl_name,varchar(35),NO,PRI,NULL,
team_name,varchar(3),NO,PRI,NULL,
pass_att,int,YES,,NULL,
pass_comp,int,YES,,NULL,
comp_pct,"decimal(10,0)",YES,,NULL,
pass_yds,int,YES,,NULL,
pass_ypg,"decimal(10,0)",YES,,NULL,
pass_td,int,YES,,NULL,
pass_int,int,YES,,NULL,
rush_att,int,YES,,NULL,
rush_yds,int,YES,,NULL,
rush_avg,"decimal(10,0)",YES,,NULL,
rush_ypg,"decimal(10,0)",YES,,NULL,
rush_td,int,YES,,NULL,
rec,int,YES,,NULL,
rec_yds,int,YES,,NULL,
rec_avg,"decimal(10,0)",YES,,NULL,
rec_ypg,"decimal(10,0)",YES,,NULL,
rec_td,int,YES,,NULL,
tar,int,YES,,NULL,
yac,int,YES,,NULL,
