team_abbrev,team_city,div_name,games_won,games_lost,games_tied,points_for,rush_yards,pass_yards,total_yards,points_against,rush_yards_against,pass_yards_against,total_yards_against
ARI,Arizona,NFC West,4,6,0,230,1131,2206,3337,258,1105,2471,3576
ATL,Atlanta,NFC South,4,6,0,232,1604,1568,3172,250,1194,2801,3995
BAL,Baltimore,AFC North,6,3,0,235,1513,1681,3194,196,828,2329,3157
BUF,Buffalo,NFC East,6,3,0,250,1169,2648,3817,151,986,1892,2878
CAR,Carolina,NFC South,3,7,0,204,1180,1762,2942,243,1392,2232,3624
CHI,Chicago,NFC North,3,7,0,217,2017,1281,3298,247,1420,2034,3454
CIN,Cincinnati,AFC North,5,4,0,228,889,2367,3256,185,1069,1847,2916
CLE,Cleveland,AFC North,3,6,0,217,1429,1954,3383,238,1180,1962,3142
DAL,Dallas,NFC East,6,3,0,211,1211,1787,2998,164,1288,1635,2923
DEN,Denver,AFC West,3,6,0,131,932,2012,2944,149,1044,1570,2614
DET,Detroit,NFC North,3,6,0,219,1168,2173,3341,264,1448,2298,3746
GB,Green Bay,NFC North,4,7,0,185,1293,2230,3523,216,1406,1797,3203
HOU,Houston,AFC South,1,7,1,149,916,1795,2711,207,1636,1916,3552
IND,Indianapolis,AFC South,4,5,1,157,987,2264,3251,203,1107,1963,3070
JAX,Jacksonville,AFC South,3,7,0,216,1396,2226,3622,205,1101,2476,3577
KC,Kansas City,AFC West,7,2,0,270,983,2825,3808,206,891,2236,3127
LV,Las Vegas,AFC West,2,7,0,203,959,2057,3016,226,1135,2250,3385
LAC,Los Angeles,AFC West,5,4,0,200,764,2388,3152,228,1321,1884,3205
LA,Los Angeles,NFC West,3,6,0,148,613,1931,2544,200,865,1932,2797
MIA,Miami,AFC West,7,3,0,252,977,2938,3915,241,1169,2398,3567
MIN,Minnesota,NFC North,8,1,0,226,963,2239,3202,191,1065,2366,3431
NE,New England,AFC East,5,4,0,203,1055,1824,2879,166,1086,1839,2925
NO,New Orleans,NFC South,3,7,0,222,1207,2377,3584,247,1305,1959,3264
NYG,New York,NFC East,7,2,0,187,1483,1449,2932,173,1199,1953,3152
NYJ,New York,AFC East,6,3,0,196,1044,1971,3015,176,998,1810,2808
PHI,Philadelphia,NFC East,8,1,0,246,1284,2108,3392,167,1123,1599,2722
PIT,Pittsburgh,AFC North,3,6,0,140,976,1795,2771,207,972,2375,3347
SF,San Franscisco,NFC West,5,4,0,198,1113,2127,3240,163,744,1781,2525
SEA,Seattle,NFC West,6,4,0,257,1243,2278,3521,241,1409,2291,3700
TB,Tampa Bay,NFC South,5,5,0,183,707,2698,3405,180,1166,1934,3100
TEN,Tennessee,AFC South,7,3,0,166,1201,1334,2535,168,766,2453,3219
WAS,Washington,NFC East,5,5,0,191,1124,2117,3241,213,1113,2127,3240
